,tmax,tmin,rain,tmax_tomorrow
1970-01-01,60.0,35.0,0.0,52.0
1970-01-02,52.0,39.0,0.0,52.0
1970-01-03,52.0,35.0,0.0,53.0
1970-01-04,53.0,36.0,0.0,52.0
1970-01-05,52.0,35.0,0.0,50.0
1970-01-06,50.0,38.0,0.0,52.0
1970-01-07,52.0,43.0,0.0,56.0
1970-01-08,56.0,49.0,0.24,54.0
1970-01-09,54.0,50.0,0.4,57.0
1970-01-10,57.0,50.0,0.0,57.0
1970-01-11,57.0,50.0,0.31,58.0
1970-01-12,58.0,52.0,0.05,59.0
1970-01-13,59.0,54.0,0.25,58.0
1970-01-14,58.0,53.0,1.94,56.0
1970-01-15,56.0,51.0,0.63,61.0
1970-01-16,61.0,56.0,0.62,59.0
1970-01-17,59.0,54.0,0.0,58.0
1970-01-18,58.0,53.0,0.0,60.0
1970-01-19,60.0,53.0,0.14,60.0
1970-01-20,60.0,53.0,1.21,61.0
1970-01-21,61.0,58.0,1.34,62.0
1970-01-22,62.0,58.0,0.01,62.0
1970-01-23,62.0,55.0,0.24,58.0
1970-01-24,58.0,50.0,0.0,59.0
1970-01-25,59.0,45.0,0.0,60.0
1970-01-26,60.0,48.0,0.01,58.0
1970-01-27,58.0,47.0,0.37,57.0
1970-01-28,57.0,39.0,0.0,57.0
1970-01-29,57.0,41.0,0.01,57.0
1970-01-30,57.0,46.0,0.0,55.0
1970-01-31,55.0,43.0,0.01,59.0
1970-02-01,59.0,48.0,0.01,64.0
1970-02-02,64.0,44.0,0.0,57.0
1970-02-03,57.0,44.0,0.0,60.0
1970-02-04,60.0,48.0,0.0,57.0
1970-02-05,57.0,50.0,0.0,60.0
1970-02-06,60.0,51.0,0.0,66.0
1970-02-07,66.0,50.0,0.0,70.0
1970-02-08,70.0,50.0,0.0,63.0
1970-02-09,63.0,50.0,0.1,65.0
1970-02-10,65.0,50.0,0.0,63.0
1970-02-11,63.0,54.0,0.0,59.0
1970-02-12,59.0,55.0,0.17,58.0
1970-02-13,58.0,52.0,0.6,58.0
1970-02-14,58.0,50.0,0.0,59.0
1970-02-15,59.0,47.0,0.0,61.0
1970-02-16,61.0,50.0,0.3,57.0
1970-02-17,57.0,47.0,0.02,63.0
1970-02-18,63.0,43.0,0.0,64.0
1970-02-19,64.0,46.0,0.0,67.0
1970-02-20,67.0,45.0,0.0,62.0
1970-02-21,62.0,43.0,0.0,60.0
1970-02-22,60.0,43.0,0.0,61.0
1970-02-23,61.0,44.0,0.0,67.0
1970-02-24,67.0,50.0,0.0,66.0
1970-02-25,66.0,45.0,0.0,66.0
1970-02-26,66.0,47.0,0.0,63.0
1970-02-27,63.0,45.0,0.12,62.0
1970-02-28,62.0,55.0,0.37,56.0
1970-03-01,56.0,48.0,0.11,56.0
1970-03-02,56.0,43.0,0.0,57.0
1970-03-03,57.0,48.0,0.0,52.0
1970-03-04,52.0,44.0,0.95,57.0
1970-03-05,57.0,42.0,0.0,60.0
1970-03-06,60.0,44.0,0.0,60.0
1970-03-07,60.0,48.0,0.05,59.0
1970-03-08,59.0,49.0,0.0,57.0
1970-03-09,57.0,47.0,0.09,57.0
1970-03-10,57.0,45.0,0.0,59.0
1970-03-11,59.0,50.0,0.0,62.0
1970-03-12,62.0,52.0,0.0,65.0
1970-03-13,65.0,51.0,0.0,64.0
1970-03-14,64.0,53.0,0.04,65.0
1970-03-15,65.0,48.0,0.0,65.0
1970-03-16,65.0,56.0,0.0,69.0
1970-03-17,69.0,50.0,0.0,65.0
1970-03-18,65.0,51.0,0.0,68.0
1970-03-19,68.0,48.0,0.0,62.0
1970-03-20,62.0,46.0,0.0,62.0
1970-03-21,62.0,49.0,0.0,64.0
1970-03-22,64.0,49.0,0.0,67.0
1970-03-23,67.0,47.0,0.0,71.0
1970-03-24,71.0,50.0,0.0,73.0
1970-03-25,73.0,51.0,0.0,74.0
1970-03-26,74.0,50.0,0.0,75.0
1970-03-27,75.0,56.0,0.0,66.0
1970-03-28,66.0,49.0,0.0,69.0
1970-03-29,69.0,50.0,0.0,68.0
1970-03-30,68.0,49.0,0.0,71.0
1970-03-31,71.0,51.0,0.0,67.0
1970-04-01,67.0,50.0,0.0,67.0
1970-04-02,67.0,47.0,0.0,74.0
1970-04-03,74.0,49.0,0.0,72.0
1970-04-04,72.0,46.0,0.0,64.0
1970-04-05,64.0,49.0,0.0,62.0
1970-04-06,62.0,49.0,0.0,59.0
1970-04-07,59.0,45.0,0.0,62.0
1970-04-08,62.0,49.0,0.0,60.0
1970-04-09,60.0,50.0,0.0,62.0
1970-04-10,62.0,52.0,0.0,64.0
1970-04-11,64.0,43.0,0.0,64.0
1970-04-12,64.0,43.0,0.0,54.0
1970-04-13,54.0,48.0,0.0,58.0
1970-04-14,58.0,49.0,0.0,56.0
1970-04-15,56.0,44.0,0.0,60.0
1970-04-16,60.0,48.0,0.0,61.0
1970-04-17,61.0,47.0,0.0,59.0
1970-04-18,59.0,48.0,0.0,60.0
1970-04-19,60.0,50.0,0.0,58.0
1970-04-20,58.0,43.0,0.0,57.0
1970-04-21,57.0,42.0,0.0,57.0
1970-04-22,57.0,48.0,0.0,59.0
1970-04-23,59.0,48.0,0.0,61.0
1970-04-24,61.0,47.0,0.0,59.0
1970-04-25,59.0,51.0,0.0,55.0
1970-04-26,55.0,47.0,0.02,55.0
1970-04-27,55.0,45.0,0.0,61.0
1970-04-28,61.0,42.0,0.0,64.0
1970-04-29,64.0,47.0,0.0,67.0
1970-04-30,67.0,48.0,0.0,75.0
1970-05-01,75.0,51.0,0.0,81.0
1970-05-02,81.0,52.0,0.0,74.0
1970-05-03,74.0,51.0,0.0,59.0
1970-05-04,59.0,49.0,0.0,57.0
1970-05-05,57.0,51.0,0.0,58.0
1970-05-06,58.0,49.0,0.0,60.0
1970-05-07,60.0,49.0,0.0,62.0
1970-05-08,62.0,54.0,0.0,61.0
1970-05-09,61.0,52.0,0.0,59.0
1970-05-10,59.0,50.0,0.0,60.0
1970-05-11,60.0,48.0,0.0,62.0
1970-05-12,62.0,50.0,0.0,67.0
1970-05-13,67.0,57.0,0.0,77.0
1970-05-14,77.0,54.0,0.0,87.0
1970-05-15,87.0,59.0,0.0,86.0
1970-05-16,86.0,60.0,0.0,65.0
1970-05-17,65.0,53.0,0.0,57.0
1970-05-18,57.0,50.0,0.0,59.0
1970-05-19,59.0,51.0,0.0,63.0
1970-05-20,63.0,51.0,0.0,67.0
1970-05-21,67.0,52.0,0.0,70.0
1970-05-22,70.0,50.0,0.0,79.0
1970-05-23,79.0,53.0,0.0,70.0
1970-05-24,70.0,52.0,0.0,70.0
1970-05-25,70.0,53.0,0.0,63.0
1970-05-26,63.0,56.0,0.0,59.0
1970-05-27,59.0,53.0,0.0,63.0
1970-05-28,63.0,52.0,0.0,68.0
1970-05-29,68.0,52.0,0.0,79.0
1970-05-30,79.0,54.0,0.0,82.0
1970-05-31,82.0,58.0,0.0,72.0
1970-06-01,72.0,56.0,0.0,70.0
1970-06-02,70.0,54.0,0.0,64.0
1970-06-03,64.0,53.0,0.0,62.0
1970-06-04,62.0,53.0,0.0,67.0
1970-06-05,67.0,55.0,0.0,63.0
1970-06-06,63.0,54.0,0.0,62.0
1970-06-07,62.0,52.0,0.0,62.0
1970-06-08,62.0,54.0,0.67,64.0
1970-06-09,64.0,56.0,0.06,66.0
1970-06-10,66.0,57.0,0.0,67.0
1970-06-11,67.0,54.0,0.0,68.0
1970-06-12,68.0,55.0,0.0,66.0
1970-06-13,66.0,57.0,0.0,61.0
1970-06-14,61.0,55.0,0.0,67.0
1970-06-15,67.0,54.0,0.0,59.0
1970-06-16,59.0,53.0,0.0,60.0
1970-06-17,60.0,53.0,0.0,68.0
1970-06-18,68.0,54.0,0.0,69.0
1970-06-19,69.0,53.0,0.0,66.0
1970-06-20,66.0,54.0,0.0,64.0
1970-06-21,64.0,54.0,0.0,66.0
1970-06-22,66.0,54.0,0.0,66.0
1970-06-23,66.0,57.0,0.0,68.0
1970-06-24,68.0,58.0,0.0,66.0
1970-06-25,66.0,58.0,0.0,64.0
1970-06-26,64.0,56.0,0.0,67.0
1970-06-27,67.0,58.0,0.0,62.0
1970-06-28,62.0,56.0,0.0,69.0
1970-06-29,69.0,56.0,0.0,76.0
1970-06-30,76.0,54.0,0.0,86.0
1970-07-01,86.0,58.0,0.0,95.0
1970-07-02,95.0,63.0,0.0,85.0
1970-07-03,85.0,63.0,0.0,71.0
1970-07-04,71.0,56.0,0.0,61.0
1970-07-05,61.0,54.0,0.0,60.0
1970-07-06,60.0,53.0,0.0,66.0
1970-07-07,66.0,55.0,0.0,66.0
1970-07-08,66.0,55.0,0.0,64.0
1970-07-09,64.0,55.0,0.0,66.0
1970-07-10,66.0,56.0,0.0,65.0
1970-07-11,65.0,55.0,0.0,68.0
1970-07-12,68.0,55.0,0.0,71.0
1970-07-13,71.0,53.0,0.0,69.0
1970-07-14,69.0,52.0,0.0,65.0
1970-07-15,65.0,57.0,0.0,67.0
1970-07-16,67.0,58.0,0.0,71.0
1970-07-17,71.0,56.0,0.0,67.0
1970-07-18,67.0,55.0,0.0,73.0
1970-07-19,73.0,54.0,0.0,65.0
1970-07-20,65.0,55.0,0.0,65.0
1970-07-21,65.0,56.0,0.0,68.0
1970-07-22,68.0,56.0,0.0,67.0
1970-07-23,67.0,55.0,0.0,68.0
1970-07-24,68.0,55.0,0.0,69.0
1970-07-25,69.0,56.0,0.0,68.0
1970-07-26,68.0,57.0,0.0,68.0
1970-07-27,68.0,57.0,0.0,68.0
1970-07-28,68.0,58.0,0.0,68.0
1970-07-29,68.0,55.0,0.0,64.0
1970-07-30,64.0,57.0,0.0,63.0
1970-07-31,63.0,55.0,0.0,69.0
1970-08-01,69.0,54.0,0.0,73.0
1970-08-02,73.0,55.0,0.0,66.0
1970-08-03,66.0,55.0,0.0,60.0
1970-08-04,60.0,54.0,0.0,69.0
1970-08-05,69.0,57.0,0.0,73.0
1970-08-06,73.0,58.0,0.0,68.0
1970-08-07,68.0,57.0,0.0,78.0
1970-08-08,78.0,54.0,0.0,87.0
1970-08-09,87.0,59.0,0.0,80.0
1970-08-10,80.0,59.0,0.0,70.0
1970-08-11,70.0,54.0,0.0,65.0
1970-08-12,65.0,56.0,0.0,70.0
1970-08-13,70.0,56.0,0.0,66.0
1970-08-14,66.0,55.0,0.0,66.0
1970-08-15,66.0,55.0,0.0,67.0
1970-08-16,67.0,54.0,0.0,66.0
1970-08-17,66.0,57.0,0.0,65.0
1970-08-18,65.0,55.0,0.0,62.0
1970-08-19,62.0,55.0,0.0,61.0
1970-08-20,61.0,54.0,0.0,66.0
1970-08-21,66.0,54.0,0.0,62.0
1970-08-22,62.0,54.0,0.0,65.0
1970-08-23,65.0,55.0,0.0,69.0
1970-08-24,69.0,54.0,0.0,63.0
1970-08-25,63.0,56.0,0.0,63.0
1970-08-26,63.0,56.0,0.0,64.0
1970-08-27,64.0,54.0,0.0,63.0
1970-08-28,63.0,55.0,0.0,63.0
1970-08-29,63.0,55.0,0.0,68.0
1970-08-30,68.0,58.0,0.0,66.0
1970-08-31,66.0,55.0,0.0,65.0
1970-09-01,65.0,56.0,0.0,64.0
1970-09-02,64.0,56.0,0.0,68.0
1970-09-03,68.0,56.0,0.0,69.0
1970-09-04,69.0,57.0,0.0,75.0
1970-09-05,75.0,57.0,0.0,85.0
1970-09-06,85.0,58.0,0.0,86.0
1970-09-07,86.0,62.0,0.0,71.0
1970-09-08,71.0,57.0,0.0,82.0
1970-09-09,82.0,56.0,0.0,74.0
1970-09-10,74.0,55.0,0.0,73.0
1970-09-11,73.0,51.0,0.0,68.0
1970-09-12,68.0,53.0,0.0,65.0
1970-09-13,65.0,52.0,0.0,74.0
1970-09-14,74.0,50.0,0.0,73.0
1970-09-15,73.0,52.0,0.0,78.0
1970-09-16,78.0,51.0,0.0,81.0
1970-09-17,81.0,52.0,0.0,71.0
1970-09-18,71.0,58.0,0.0,65.0
1970-09-19,65.0,57.0,0.0,71.0
1970-09-20,71.0,52.0,0.0,76.0
1970-09-21,76.0,55.0,0.0,85.0
1970-09-22,85.0,54.0,0.0,72.0
1970-09-23,72.0,55.0,0.0,81.0
1970-09-24,81.0,52.0,0.0,88.0
1970-09-25,88.0,54.0,0.0,91.0
1970-09-26,91.0,57.0,0.0,86.0
1970-09-27,86.0,55.0,0.0,89.0
1970-09-28,89.0,58.0,0.0,84.0
1970-09-29,84.0,57.0,0.0,77.0
1970-09-30,77.0,55.0,0.0,86.0
1970-10-01,86.0,57.0,0.0,67.0
1970-10-02,67.0,54.0,0.0,63.0
1970-10-03,63.0,57.0,0.0,64.0
1970-10-04,64.0,54.0,0.0,64.0
1970-10-05,64.0,54.0,0.0,65.0
1970-10-06,65.0,55.0,0.0,77.0
1970-10-07,77.0,47.0,0.0,75.0
1970-10-08,75.0,51.0,0.0,76.0
1970-10-09,76.0,51.0,0.0,71.0
1970-10-10,71.0,54.0,0.0,63.0
1970-10-11,63.0,51.0,0.0,59.0
1970-10-12,59.0,55.0,0.0,63.0
1970-10-13,63.0,55.0,0.0,63.0
1970-10-14,63.0,57.0,0.0,60.0
1970-10-15,60.0,54.0,0.0,60.0
1970-10-16,60.0,53.0,0.0,61.0
1970-10-17,61.0,53.0,0.0,65.0
1970-10-18,65.0,53.0,0.03,62.0
1970-10-19,62.0,53.0,0.0,63.0
1970-10-20,63.0,56.0,0.3,63.0
1970-10-21,63.0,53.0,0.08,62.0
1970-10-22,62.0,54.0,0.08,60.0
1970-10-23,60.0,53.0,0.27,61.0
1970-10-24,61.0,48.0,0.0,61.0
1970-10-25,61.0,49.0,0.0,68.0
1970-10-26,68.0,47.0,0.0,66.0
1970-10-27,66.0,44.0,0.0,73.0
1970-10-28,73.0,47.0,0.0,65.0
1970-10-29,65.0,50.0,0.0,63.0
1970-10-30,63.0,51.0,0.01,65.0
1970-10-31,65.0,47.0,0.0,65.0
1970-11-01,65.0,46.0,0.0,62.0
1970-11-02,62.0,46.0,0.0,61.0
1970-11-03,61.0,50.0,0.97,63.0
1970-11-04,63.0,57.0,0.3,62.0
1970-11-05,62.0,57.0,0.37,62.0
1970-11-06,62.0,57.0,0.37,63.0
1970-11-07,63.0,55.0,0.18,64.0
1970-11-08,64.0,58.0,0.0,63.0
1970-11-09,63.0,57.0,0.03,62.0
1970-11-10,62.0,53.0,0.0,64.0
1970-11-11,64.0,55.0,0.09,66.0
1970-11-12,66.0,51.0,0.01,68.0
1970-11-13,68.0,43.0,0.0,65.0
1970-11-14,65.0,52.0,0.0,67.0
1970-11-15,67.0,47.0,0.0,62.0
1970-11-16,62.0,52.0,0.0,64.0
1970-11-17,64.0,48.0,0.0,65.0
1970-11-18,65.0,46.0,0.0,67.0
1970-11-19,67.0,48.0,0.0,61.0
1970-11-20,61.0,45.0,0.0,59.0
1970-11-21,59.0,50.0,0.0,60.0
1970-11-22,60.0,54.0,0.0,60.0
1970-11-23,60.0,49.0,0.0,66.0
1970-11-24,66.0,48.0,0.7,60.0
1970-11-25,60.0,56.0,0.5,57.0
1970-11-26,57.0,49.0,0.0,55.0
1970-11-27,55.0,48.0,0.39,55.0
1970-11-28,55.0,51.0,2.03,55.0
1970-11-29,55.0,47.0,0.98,57.0
1970-11-30,57.0,47.0,0.15,57.0
1970-12-01,57.0,51.0,0.15,56.0
1970-12-02,56.0,48.0,0.46,54.0
1970-12-03,54.0,48.0,0.56,58.0
1970-12-04,58.0,53.0,1.14,61.0
1970-12-05,61.0,53.0,0.0,56.0
1970-12-06,56.0,53.0,0.0,59.0
1970-12-07,59.0,54.0,0.08,58.0
1970-12-08,58.0,51.0,0.14,56.0
1970-12-09,56.0,45.0,0.0,56.0
1970-12-10,56.0,41.0,0.0,58.0
1970-12-11,58.0,45.0,0.0,54.0
1970-12-12,54.0,42.0,0.0,47.0
1970-12-13,47.0,39.0,0.22,52.0
1970-12-14,52.0,40.0,0.0,56.0
1970-12-15,56.0,46.0,0.32,52.0
1970-12-16,52.0,47.0,0.28,51.0
1970-12-17,51.0,45.0,0.32,49.0
1970-12-18,49.0,43.0,0.35,53.0
1970-12-19,53.0,40.0,0.0,48.0
1970-12-20,48.0,40.0,0.57,51.0
1970-12-21,51.0,44.0,0.1,50.0
1970-12-22,50.0,38.0,0.0,55.0
1970-12-23,55.0,43.0,0.0,57.0
1970-12-24,57.0,41.0,0.0,48.0
1970-12-25,48.0,38.0,0.06,45.0
1970-12-26,45.0,42.0,0.51,49.0
1970-12-27,49.0,44.0,0.36,52.0
1970-12-28,52.0,45.0,0.05,55.0
1970-12-29,55.0,47.0,0.34,54.0
1970-12-30,54.0,43.0,0.0,57.0
1970-12-31,57.0,45.0,0.0,51.0
1971-01-01,51.0,44.0,0.22,54.0
1971-01-02,54.0,39.0,0.0,51.0
1971-01-03,51.0,37.0,0.0,49.0
1971-01-04,49.0,33.0,0.0,49.0
1971-01-05,49.0,33.0,0.0,52.0
1971-01-06,52.0,40.0,0.0,49.0
1971-01-07,49.0,33.0,0.0,48.0
1971-01-08,48.0,36.0,0.0,49.0
1971-01-09,49.0,36.0,0.0,50.0
